id,gps_height
19728,1671
9944,6
19816,1140
54551,1254
53934,1154
46144,1354
36957,1280
53752,1146
6091,1297
20145,1491
46804,1038
67359,494
60048,1192
12958,1113
13620,1364
10745,498
32376,1239
9417,1430
31714,1170
22108,1387
17386,1057
41609,1037
62971,1297
52561,1303
34383,1234
68717,1166
30537,1313
22143,1091
48593,1155
29083,1156
43206,1196
59902,1260
60371,1210
7116,1631
10784,1206
49503,1855
54248,1163
24409,1194
64447,1163
22897,1315
14016,918
69525,1114
33235,1172
41839,1243
62002,1243
25915,1073
20673,1209
69107,1448
44002,1235
37471,1240
49585,503
64130,1253
73769,1260
24232,1075
72981,1165
45564,1878
23519,1170
50173,1321
63632,125
11787,1307
72678,1297
56725,1297
33037,1790
58126,991
45604,1147
67428,2102
52318,1211
8879,1112
30377,1377
10068,1501
34609,1221
26701,1542
31626,499
43098,1649
34853,487
31132,1202
28740,1703
7171,1171
58838,1149
61046,337
72374,1419
33169,1219
49994,838
16944,1162
35828,1143
24377,42
70241,1243
13042,125
10891,1213
33500,1239
31957,1166
47462,1111
28110,1205
52448,1208
36933,1344
50139,846
36455,1143
49732,1423
20200,1210
65530,92
36366,1119
71487,125
36093,1137
68037,1070
64793,1623
62565,1687
70379,1239
10089,1199
37364,530
43345,1272
39310,1193
59713,1239
28945,1076
17668,1631
30390,494
1298,1372
35649,1047
45415,1297
8055,897
51403,125
7900,1239
13195,1066
17111,1367
21338,1217
49326,1339
33040,1125
40920,1157
21127,1165
32089,1297
68887,1052
17897,1546
23987,1223
26655,2258
51558,1092
13969,1128
66980,1249
59310,1239
66242,888
53847,1307
73470,1338
11533,1210
4101,1262
70019,533
20984,1158
20132,1208
5963,1224
57478,1348
4062,1145
54412,1079
59874,1238
29639,1274
43808,1203
51220,1297
16872,1347
29383,1136
29753,1153
24794,1647
29771,1230
4923,874
27079,1028
67155,1117
16313,1122
1220,1359
52677,1090
19548,1443
22000,1191
25913,1012
3980,1174
16537,1268
9096,1197
11754,1100
70666,1216
18266,1315
6387,1240
66967,1240
68495,125
3522,1186
21927,1261
54983,1177
5947,1167
67371,1098
4133,2349
45876,2355
52402,1579
36823,1194
63746,1153
41174,1161
31332,1067
27334,1351
49196,747
70584,1114
6758,1348
70054,1167
52707,1472
68660,1215
29658,993
42195,1167
23315,1157
45093,898
45889,1227
71634,1194
48546,1280
11957,1198
38775,1071
66760,1219
61574,1154
67199,1194
6939,1315
27776,1311
60433,1204
48033,1244
36711,499
